"Year","Week in year","Units","Hours","Rate","Direct Hours","Indirect Hours"
2010,1,134804,426,316.44,426,0
2010,2,154344,525.75,293.57,525.75,0
2010,3,102381,368.75,277.64,368.75,0
2010,4,100708,351.2,286.75,351.2,0
2010,5,126948,416.75,304.61,416.75,0
2010,6,117623,398.25,295.35,398.25,0
2010,7,115977,432.25,268.31,400.25,32
2010,8,104976,417.25,251.59,384.25,33
2010,9,167633,737.25,227.38,601,136.25
2010,10,135436,555.75,243.7,479.75,76
2010,11,125441,528,237.58,448.5,79.5
2010,12,109230,489.5,223.15,406,83.5
2010,13,141731,562.25,252.08,472,90.75
2010,14,153779,633.25,242.84,533,100.25
2010,15,120165,502.05,239.35,427.5,74.55
2010,16,137079,585,234.32,476.5,108.5
2010,17,144193,598.95,240.74,478.5,120.45
2010,18,160385,723,221.83,606,117
2010,19,150339,678.49,221.58,554.49,124
2010,20,128639,626.17,205.44,546.92,79.25
2010,21,141656,697.37,203.13,585.23,112.14
2010,22,55227,261.42,211.26,210.5,50.92
2010,23,161800,710.185,227.83,592.18,118.005
2010,24,92030,400.655,229.7,319.5,81.155
2010,25,137738,666.35,206.71,561.66,104.69
2010,26,128432,599.775,214.13,541.17,58.605
2010,27,143958,645.015,223.19,544.015,101
2010,28,108920,557.19,195.48,437.73,119.46
2010,29,128898,616.105,209.21,525.37,90.735
2010,30,106527,535.7645,198.83,466.75,69.0145
2010,31,107265,553.28,193.87,482.66,70.62
2010,32,103522,555.608,186.32,411.42,144.188
2010,33,96704,531.705,181.88,396.37,135.335
2010,34,101855,560.975,181.57,443.18,117.795
2010,35,109141,594.3292,183.64,477.51,116.8192
2010,36,142503,815.295,174.79,646.58,168.715
2010,37,106032,671.1979,157.97,469.0089,202.189
2010,38,105979,567.9559,186.6,417.005,150.9509
2010,39,79770,525.4551,151.81,356.164,169.2911
2010,40,64764,407.25,159.03,295.31,111.94
2010,41,101420,415.475,244.11,350.8,64.675
2010,42,124875,732.775,170.41,557,175.775
2010,43,96466,711.975,135.49,530.75,181.225
2010,44,109132,577.875,188.85,454.75,123.125
2010,45,92310,546.219,169,398.3765,147.8425
2010,46,83199,482.125,172.57,337.5,144.625
2010,47,71700,368,194.84,264.5,103.5
2010,48,82518,438.115,188.35,313.83,124.285
2010,49,29254,155.0422,188.68,97.0572,57.985
2010,50,1535,7.25,211.72,4,3.25
2010,51,8888,51.8357,171.46,44.7823,7.0534
2010,52,36248,177.6126,204.08,113.9597,63.6529
2010,53,,,,,
2011,1,93543,374.2219,249.97,272.5599,101.662
2011,2,82157,305.881,268.59,193.095,112.786
2011,3,51674,214.3124,241.12,162.7206,51.5918
2011,4,55404,230.8725,239.98,159.6858,71.1867
2011,5,119859,518.4267,231.2,376.3689,142.0578
2011,6,106982,400.6806,267,314.8872,85.7934
2011,7,61858,284.2611,217.61,190.3764,93.8847
2011,8,83819,352.7941,237.59,266.4459,86.3482
2011,9,90197,376.2432,239.73,280.0951,96.1481
2011,10,159275,642.3236,247.97,464.3066,178.017
2011,11,114833,488.3664,235.14,393.2503,95.1161
2011,12,146329,566.93,258.11,431.15,135.78
2011,13,122942,510.3714,240.89,382.3899,127.9815
2011,14,138527,622.912,222.39,504.1092,118.8028
2011,15,178917,762.2555,234.72,633.5264,128.7291
2011,16,101500,455.42,222.87,364.42,91
2011,17,107304,485.8116,220.88,420.6244,65.1872
2011,18,105496,461.9808,228.36,376.7608,85.22
2011,19,139331,545.8591,255.25,489.5958,56.2633
2011,20,133916,579.18,231.22,469.46,109.72
2011,21,73235,307.15,238.43,271.15,36
2011,22,78812,327.255,240.83,284.83,42.425
2011,23,105992,407.45,260.13,355.5,51.95
2011,24,139344,534.73,260.59,509.83,24.9
2011,25,120741,495.83,243.51,449.5,46.33
2011,26,151790,644.7,235.44,598.37,46.33
2011,27,135375,607.9,222.69,563.98,43.92
2011,28,116947,510.22,229.21,476.22,34
2011,29,67363,282.9,238.12,255.15,27.75
2011,30,75082,310.65,241.69,293.4,17.25
2011,31,114688,541.4,211.84,457.16,84.24
2011,32,86204,398.95,216.08,341.7,57.25
2011,33,87348.62,432.75,201.85,330.805,101.945
2011,34,132675,603.57,219.82,486.3475,117.2225
2011,35,135162,637.6225,211.98,505.7825,131.84
2011,36,122868,601.3,204.34,484.155,117.145
2011,37,101392,570.95,177.58,458.86,112.09
2011,38,24291,280.5,86.6,163.5,117
2011,39,15600,114,136.84,80.5,33.5
2011,40,34679,222.8875,155.59,175.5,47.3875
2011,41,84779,490,173.02,375.36,114.64
2011,42,142482,1072.375,132.87,734.125,338.25
2011,43,182721,1170,156.17,933.5,236.5
2011,44,176172,1218.471,144.58,822.873,380.598
2011,45,133158,1200.5,110.92,758.38,442.12
2011,46,98956,795.4,124.41,641.625,153.775
2011,47,77771,485.25,160.27,355.5,129.75
2011,48,79000,695.098,113.65,471.56,223.58
2011,49,50594,284.33,177.94,210.75,75.58
2011,50,67896,369.13,183.94,259.63,109.5
2011,51,44407,243.5,182.37,150,93.5
2011,52,71607,349,205.18,244.5,104.5
