"seq.1.52.","units.foot.pick.2010","units.foot.pick.2011","units.1000.pick.2010","units.1000.pick.2011","units.non.foot.pick.2010","units.non.foot.pick.2011","hours.foot.pick.2010","hours.foot.pick.2011","hours.non.foot.pick.2010","hours.non.foot.pick.2011"
1,135273,197523,32346,39760,32762,8597,1264.8337,2703.66,532.5205,107.75
2,153865,274096,40379,54263,38175,9405,1576.69,3138.16,574.62,124.5
3,141022,240742,39505,49151,38589,4945,1368.92,2662.2325,622.66,104
4,136454,246012,47339,46813,44465,5236,1440.37,2626.96,567.58,112
5,152265,237846,57194,42504,50431,5240,1641.05,2574.95,691.12,112.5
6,163168,230321,63658,38180,57192,8845,1947.43,2660.01,694.465,80.5
7,144638,225500,52774,37195,46036,35805,1610.57,2983.65,664.08,328.84
8,142803,233831,45548,36645,44787,55849,1507.72,2939.27,558.19,797.75
9,158271,251436,52797,41146,45992,81890,1608.09,2765.33,588.275,1344.9
10,158790,265238,52327,43903,46106,98312,1705.485,3347.25,474.58,1907.45
11,154660,272750,47092,47555,40863,126990,1530.2819,3333.3,397.7805,2649.35
12,181130,298789,56286,53811,51326,137641,1868.22,3229.82,448.26,2742.31
13,162897,286936,45833,55015,38073,139208,1466.7022,3245.37,396.3128,2631.61
14,162212,296972,46132,56264,45454,140222,1603.31,3125.31,278.79,4649.25
15,164748,296820,49058,54029,39116,140477,1527.69,3177.45,304.69,2355.25
16,160318,289864,43839,47065,40524,148390,1618.7,3250.91,284.48,3082.54
17,149476,282196,44000,42784,38730,154513,1750.1913,2720.62,254.9948,3128.535
18,162970,296049,47753,47711,33933,162652,1669.15,3254.58,182.21,2965.18
19,149875,310631,41568,46910,29969,160771,1587.1283,3122.735,149.478,3151.825
20,142189,269765,38451,39050,27607,157091,1541.3115,2815.345,145.1119,3225.555
21,159174,324369,48056,44450,23210,179889,1763.27,3706.75,145.44,3764.32
22,145807,265194,42024,40709,24940,167012,1575.4501,2781.05,87.4567,3326.5
23,150592,308961,39380,35355,16954,188943,1569.395,2959.6,89.4125,3577.725
24,143282,279342,37603,32198,9651,190841,1647.0333,2690.35,53.82,4478.61
25,135631,264492,36284,34204,20218,171468,1502.6459,2801.49,46.96,4248.66
26,124061,228838,36115,29203,21539,168544,1523.66,2631.94,50.17,3884.24
27,122093,209869,34879,25294,21340,147346,1369.3143,2740.66,38.8,3823.42
28,121514,222175,30285,27707,18530,170174,1408.07,2784.15,7.92,3628.62
29,127879,242898,19943,30129,20242,193789,1492.6794,2748.08,0,4704.58
30,126843,251984,15302,35065,18763,153872,1613.32,2279.07,0,4115.19
31,151780,253622,18385,37814,21255,151273,1613.507,2379.08,65.5,4128.83
32,175059,287276,24143,33529,28248,157859,1880.52,2477.67,16.16,4392.49
33,183969,290664,27125,31612,26075,142380,1906.9,2895.86,19.5,3999.09
34,190524,281663,34981,24745,22682,134329,2039.9,2673.46,44.41,4090.18
35,185273,286938,35276,34634,23432,129497,2040.425,2665.27,45.67,3283.805
36,175219,308573,36699,27152,21894,136418,1777.56,3142.93,96.59,3427.11
37,184674,213159,37271,32427,22841,103725,1906.56,2366.295,69.5,3027.62
38,199901,140995,39425,0,24922,171399,2235.09,3515,121.5,3788.25
39,204784,137550,40872,0,24891,333495,2327.35,1936.25,93.34,7212.6
40,216967,0,45588,0,24896,0,2834.57,0,209.5,0
41,237563,0,45434,0,35893,0,3135.29,0,367.15,0
42,239624,0,48310,0,30270,0,3174.76,0,469.75,0
43,233376,0,46772,0,27755,0,3316.6,0,411.53,0
44,227743,0,44386,0,30401,0,3414.74,0,582.97,0
45,253017,0,46105,0,33344,0,3625.68,0,350.5,0
46,295187,0,51123,0,27788,0,4432.39,0,436.75,0
47,281934,0,45820,0,12754,0,5271.41,0,94,0
48,375485,0,62904,0,28355,0,6606.125,0,353.6,0
49,398562,0,63558,0,49335,0,9893.09,0,331.5,0
50,501804,0,77038,0,76932,0,12982.92,0,378.5,0
51,280311,0,48007,0,17770,0,10247.28,0,95,0
52,265429,0,44437,0,19439,0,4814.83,0,135.25,0
