"Year","Week","Units","Hours","Rate"
2010,1,267089,7263.6991,36.77
2010,2,310528,8571.066,36.23
2010,3,294889,8370.363,35.23
2010,4,282643,8208.655,34.43
2010,5,313759,9191.403,34.14
2010,6,329652,10085.878,32.68
2010,7,300543,9378.177,32.05
2010,8,301687,8984.708,33.58
2010,9,339881,9411.975,36.11
2010,10,351503,9337.795,37.64
2010,11,345751,8674.6136,39.86
2010,12,371694,9957.6306,37.33
2010,13,331647,8682.1458,38.2
2010,14,329688,8709.525,37.85
2010,15,333100,8720.9489,38.2
2010,16,328230,8937.95,36.72
2010,17,310454,8791.1225,35.31
2010,18,334464,8873.56,37.69
2010,19,303909,8243.8639,36.86
2010,20,288630,7770.4516,37.14
2010,21,331794,8940.3781,37.11
2010,22,289565,7669.5486,37.76
2010,23,297403,7902.4955,37.63
2010,24,288375,7669.2061,37.6
2010,25,277731,7378.109,37.64
2010,26,263569,7112.95,37.05
2010,27,252452,6756.641,37.36
2010,28,253343,7086.05,35.75
2010,29,256620,6793.6006,37.77
2010,30,251516,6871.2495,36.6
2010,31,278765,7258.4196,38.41
2010,32,310105,8185.2767,37.89
2010,33,322207,8386.23,38.42
2010,34,331622,8625.78,38.45
2010,35,320565,8724.0206,36.75
2010,36,301022,8217.07,36.63
2010,37,324281,9664.683,33.55
2010,38,344831,10681.01,32.28
2010,39,333479,10423.995,31.99
2010,40,342485,12131.35,28.23
2010,41,372735,13574.21,27.46
2010,42,357903,13734.25,26.06
2010,43,349989,13523.15,25.88
2010,44,346003,14803.41,23.37
2010,45,384670,15399.31,24.98
2010,46,422787,18979.765,22.28
2010,47,429061,20018.73,21.43
2010,48,602780,28433.108,21.2
2010,49,606260,40291.83,15.05
2010,50,757815,48183.24,15.73
2010,51,436341,35162.78,12.41
2010,52,461579,17842.46,25.87
2010,53,41096,1565.75,26.25
2011,1,296566,10329.755,28.71
2011,2,393488,13078.435,30.09
2011,3,350884,11526.3,30.44
2011,4,351139,11088.399,31.67
2011,5,357220,11106.065,32.16
2011,6,366120,10951.265,33.43
2011,7,399236,12526.965,31.87
2011,8,464010,13907.63,33.36
2011,9,457450,15104.185,30.29
2011,10,479258,16728.49,28.65
2011,11,502387,17500.46,28.71
2011,12,546554,18003.428,30.36
2011,13,546435,18013.424,30.33
2011,14,552125,18054.909,30.58
2011,15,553534,18767.265,29.49
2011,16,553807,20247.005,27.35
2011,17,549414,18760.34,29.29
2011,18,578607,18738.305,30.88
2011,19,592082,19415.22,30.5
2011,20,533253,18784.38,28.39
2011,21,618727,22411.915,27.61
2011,22,533464,18905.595,28.22
2011,23,608691,20516.015,29.67
2011,24,582481,21796.46,26.72
2011,25,548650,21547.31,25.46
2011,26,497502,20409.88,24.38
2011,27,444132,18936.63,23.45
2011,28,475893,17965.01,26.49
2011,29,539530,20857.335,25.87
2011,30,500475,19304.765,25.92
2011,31,509047,19577.97,26
2011,32,551409,21565,25.57
2011,33,535811,20434.06,26.22
2011,34,523339,20862.14,25.09
2011,35,524460,20233.055,25.92
2011,36,568408,23561.7,24.12
2011,37,413682,18701.845,22.12
2011,38,359678,24886.6,14.45
2011,39,657644,44515.37,14.77
2011,40,585964,38752.875,15.12
2011,41,524854,30775.83,17.05
2011,42,549650,31071.81,17.69
2011,43,568686,32714.46,17.38
2011,44,583105,35040.455,16.64
2011,45,652223,41692.455,15.64
2011,46,675272,52707.98,12.81
2011,47,748538,71946.955,10.4
2011,48,972983,72051.25,13.5
2011,49,1008144,65305.05,15.44
2011,50,1071102,66552.94,16.09
2011,51,917690,56754.33,16.17
2011,52,493301,25099.75,19.65
