"Year","Week in year","Units","Hours","Rate"
2011,23,167628,1171,143.15
2011,24,169776,1301.75,130.42
2011,25,166691,1129.95,147.52
2011,26,168010,1134.75,148.06
2011,27,164664,1112.5,148.01
2011,28,160840,1161.5,138.48
2011,29,189571,1311.5,144.55
2011,30,143923,1096.5,131.26
2011,31,153536,1129.25,135.96
2011,32,167267,1152.25,145.17
2011,33,150599,1163,129.49
2011,34,149790,1104,135.68
2011,35,146159,1077.25,135.68
2011,36,153618,1027,149.58
2011,37,125818,959.75,131.09
2011,38,50743,887.75,57.16
2011,39,169262,2574.5,65.75
2011,40,133019,1759,75.62
2011,41,126687,1387.75,91.29
2011,42,125073,1372.5,91.13
2011,43,130923,1282,102.12
2011,44,137038,1370.75,99.97
2011,45,185517,1668.5,111.19
2011,46,163547,2572.33,63.58
2011,47,183299,2771.5,66.14
2011,48,241233,3453.75,69.85
2011,49,260614,2911.5,89.51
2011,50,316891,3512,90.23
2011,51,271509,2949,92.07
2011,52,180407,2031.5,88.8
